YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2012/13,Quarter Finals,1,Bayern München ,2,2,0,0,4,0,4,WW,38%,62%,8%,92%,62%,3.23,OVERALL,17,Shakhtar Donetsk,14,14.8,150.0,49.7,83.5,7.9,6.83,Scorers, ,Willian Shakhtar,Donetsk  ,6,4,Assists, ,Charlie Mulgrew, Celtic,8,3
2012/13,Quarter Finals,2,Borussia Dortmund  ,2,1,1,0,3,2,1,DW,31%,62%,15%,77%,54%,2.54,OVERALL,18,Manchester City,7,11.7,150.0,53.2,84.8,16.2,6.77,Scorers, ,Kostas Mitroglou,Olympiakos  ,6,4,Assists, ,Jefferson Farfán,Schalke 04,7,3
2012/13,Quarter Finals,3,Real Madrid CF  ,2,1,0,1,5,3,2,WL,38%,54%,8%,92%,77%,3.92,OVERALL,19,Zenit St.,Petersburg,6.0,12.7,151.0,51.2,81.3,10.8,Scorers, ,Lukas Podolski,Arsenal  ,6,4,Assists, ,Lewis Holtby,Schalke 04,6,3
2012/13,Quarter Finals,4,FC Barcelona    ,2,0,2,0,3,3,0,DD,33%,42%,30%,92%,75%,2.9,OVERALL,20,Olympiacos  ,9,11.0,130.0,43.3,73.9,14.3,6.75,Scorers, ,Claudio Pizarro,Bayern Munich,6,4,Assists, ,Rafael Bastos,CFR Cluj-Napoca,6,3
2012/13,Quarter Finals,5,Paris Saint-Germain ,2,0,2,0,3,3,0,DD,30%,50%,10%,90%,50%,2.8,OVERALL,21,Celtic  ,9,10.5,160.0,41.3,74.9,10.4,6.71,Scorers,21,Mario Mandzukic,Bayern Munich,10,3,Assists, ,Juan Mata, Chelsea,6,3
2012/13,Quarter Finals,6,Galatasaray  ,2,1,0,1,3,5,-2,LW,10%,60%,30%,80%,50%,2.8,OVERALL,22,CFR Cluj,9,9.8,81.0,36.3,66.2,13.8,6.71,Scorers, ,Javier Pastore,Paris Saint-Germain,10,3,Assists, ,Wayne Rooney,Manchester United,6,3
2012/13,Quarter Finals,7,Malaga  ,2,0,1,1,2,3,-1,DL,40%,40%,20%,70%,70%,2.5,OVERALL,23,Anderlecht  ,4,10.3,171.0,50.5,81.9,8.7,6.69,Scorers, ,Toni Kroos,Bayern Munich,9,3,Assists, ,Modou Sougou, Marseille,5,3
2012/13,Quarter Finals,8,Juventus  ,2,0,0,2,0,4,-4,LL,50%,30%,20%,90%,40%,2.5,OVERALL,24,BATE Borisov,9,9.2,161.0,46.6,81.1,8.3,6.67,Scorers, ,Arturo Vidal,Juventus  ,9,3,Assists,24,Robert Lewandowski,Borussia Dortmund,13,2
2012/13,Semi Finals,1,Bayern München ,2,2,0,0,7,0,7,WW,38%,62%,8%,92%,62%,3.23,OVERALL,25,Ajax  ,8,12.2,70.0,53.6,85.0,12.3,6.61,Scorers, ,Zlatan Ibrahimovic,Paris Saint-Germain,9,3,Assists, ,Thomas Müller,Bayern Munich,13,2
2012/13,Semi Finals,2,Borussia Dortmund  ,2,1,0,1,4,3,1,WL,31%,62%,15%,77%,54%,2.54,OVERALL,26,Dynamo Kyiv,6,9.5,130.0,47.6,76.4,9.8,6.6,Scorers, ,Isco  ,Málaga  ,8,3,Assists, ,Marco Reus,Borussia Dortmund,13,2
2012/13,Semi Finals,3,Real Madrid CF  ,2,1,0,1,3,4,-1,LW,38%,54%,8%,92%,77%,3.92,OVERALL,27,Braga  ,7,16.8,121.0,51.3,83.5,8.7,6.58,Scorers, ,Sofiane Feghouli,Valencia  ,8,3,Assists, ,Franck Ribéry,Bayern Munich,12,2
2012/13,Semi Finals,4,FC Barcelona    ,2,0,0,2,0,7,-7,LL,33%,42%,30%,92%,75%,2.9,OVERALL,28,Montpellier  ,6,14.0,151.0,50.6,81.9,11.3,6.58,Scorers, ,Jackson Martínez,FC Porto,8,3,Assists, ,David Alaba,Bayern Munich,11,2
2012/13,Finals,1,Bayern München ,2,1,0,0,2,1,1,W,38%,62%,8%,92%,62%,3.23,OVERALL,29,Lille  ,4,13.8,162.0,45.4,80.5,17.7,6.52,Scorers, ,Joaquín  ,Málaga  ,8,3,Assists, ,Sami Khedira,Real Madrid,11,2
2012/13,Finals,2,Borussia Dortmund  ,2,0,0,1,1,2,-1,L,31%,62%,15%,77%,54%,2.54,OVERALL,30,Spartak Moscow,7,9.8,163.0,46.8,79.8,9.0,6.52,Scorers, ,Luiz Adriano,Shakhtar Donetsk,7,3,Assists, ,Lionel Messi,Barcelona  ,11,2
