YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2017/18,8th Finals,12,Manchester United FC    ,2,0,1,1,1,2,-1,DL,50%,38%,25%,63%,50%,2.25,OVERALL,12,FC Basel,1893,13.0,10.4,140.0,39.1,75.7,11.8,Scorers, ,Gonzalo Higuaín,Juventus  ,10,5,Assists, ,Joaquín Correa,Sevilla FC,8,3
2017/18,8th Finals,13,Chelsea FC  ,2,0,1,1,1,4,-3,DL,25%,50%,25%,100%,75%,3.63,OVERALL,13,Sevilla  ,15,15.9,191.0,55.6,84.7,14.5,6.82,Scorers, ,Karim Benzema,Real Madrid,9,5,Assists, ,Alberto Moreno, Liverpool,8,3
2017/18,8th Finals,14,FC Porto    ,2,0,1,1,0,5,-5,LD,25%,63%,25%,88%,75%,3.75,OVERALL,14,FC Porto,15,12.6,141.0,46.3,77.1,16.5,6.82,Scorers, ,Romelu Lukaku,Manchester United,8,5,Assists, ,Dani Carvajal,Real Madrid,8,3
2017/18,8th Finals,15,Paris Saint-Germain FC    ,2,0,0,2,2,5,-3,LL,50%,50%,0%,100%,100%,4.5,OVERALL,15,Besiktas  ,12,10.3,201.0,48.5,76.6,15.0,6.8,Scorers, ,Vincent Aboubakar,FC Porto,6,5,Assists, ,Eden  ,Hazard Chelsea,8,3
2017/18,8th Finals,16,Beşiktaş    ,2,0,0,2,1,8,-7,LL,13%,75%,13%,100%,63%,3.13,OVERALL,16,Juventus  ,14,12.7,252.0,49.5,84.1,12.9,6.78,Scorers, ,Philippe Coutinho,Barcelona  ,5,5,Assists, ,Sami Khedira,Juventus  ,8,3
2017/18,Quarter Finals,1,Liverpool FC  ,2,2,0,0,5,1,4,WW,40%,60%,7%,93%,87%,4.4,OVERALL,17,RasenBallsport Leipzig,10,15.2,91.0,54.4,78.7,15.2,6.74,Scorers,17,Joshua Kimmich,Bayern Munich,11,4,Assists, ,Neymar  ,Paris Saint-Germain,7,3
2017/18,Quarter Finals,2,Bayern München   ,2,1,1,0,2,1,1,WD,33%,58%,17%,92%,92%,3.17,OVERALL,18,Shakhtar Donetsk,11,10.8,152.0,48.6,83.9,7.9,6.73,Scorers, ,Gabriel Jesus,Manchester City,9,4,Assists, ,Ricardo Quaresma,Besiktas  ,7,3
2017/18,Quarter Finals,3,Real Madrid  ,2,1,0,1,4,3,1,WL,23%,77%,0%,100%,92%,3.77,OVERALL,19,Spartak Moscow,9,12.7,120.0,47.7,81.7,13.5,6.69,Scorers, ,Kylian Mbappé,Paris Saint-Germain,8,4,Assists, ,Dries Mertens,Napoli  ,6,3
2017/18,Quarter Finals,4,AS Roma      ,2,1,0,1,4,4,0,LW,42%,50%,17%,75%,67%,3.33,OVERALL,20,Napoli  ,11,12.2,130.0,52.6,85.6,9.2,6.68,Scorers, ,Dimitri Oberlin,FC Basel,8,4,Assists, ,Danilo Pereira,FC Porto,6,3
2017/18,Quarter Finals,5,FC Barcelona    ,2,1,0,1,4,4,0,WL,60%,30%,30%,70%,50%,2.3,OVERALL,21,CSKA Moscow,8,12.0,130.0,45.3,76.2,19.2,6.67,Scorers, ,Anderson Talisca,Besiktas  ,8,4,Assists, ,Kieran Trippier,Tottenham Hotspur,3,3
2017/18,Quarter Finals,6,Juventus    ,2,1,0,1,3,4,-1,LW,30%,50%,30%,90%,60%,2.6,OVERALL,22,Sporting CP,8,9.5,190.0,43.5,79.6,14.7,6.66,Scorers, ,Raheem Sterling,Manchester City,8,4,Assists,22,Edin Dzeko,AS Roma,12,2
2017/18,Quarter Finals,7,Sevilla FC  ,2,0,1,1,1,2,-1,LD,25%,75%,17%,83%,75%,2.6,OVERALL,23,Borussia Dortmund,7,14.3,100.0,56.3,86.5,12.2,6.65,Scorers, ,Son Heung-Min,Tottenham Hotspur,7,4,Assists, ,Georginio Wijnaldum, Liverpool,12,2
2017/18,Quarter Finals,8,Manchester City,2,0,0,2,1,5,-4,LL,40%,50%,10%,90%,80%,3.2,OVERALL,24,Olympiacos  ,4,7.7,150.0,39.8,80.4,7.2,6.47,Scorers, ,Sergio Agüero,Manchester City,7,4,Assists, ,James Rodríguez,Bayern Munich,12,2
2016/17,Semi Finals,1,Real Madrid  ,2,1,1,0,4,3,1,WD,23%,77%,0%,100%,92%,3.77,OVERALL,25,Celtic  ,5,8.8,60.0,44.9,84.7,5.8,6.45,Scorers, ,Cenk Tosun,Besiktas  ,6,4,Assists, ,Isco  ,Real Madrid,11,2
2016/17,Semi Finals,2,Liverpool FC  ,2,1,0,1,7,6,1,WL,40%,60%,7%,93%,87%,4.4,OVERALL,26,Qarabag FK,2,6.3,123.0,45.1,81.1,11.0,6.45,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,6,4,Assists, ,Radja Nainggolan,AS Roma,11,2
2016/17,Semi Finals,3,AS Roma,2,1,0,1,6,7,-1,LW,42%,50%,17%,75%,67%,3.33,OVERALL,27,Monaco  ,6,11.3,141.0,47.6,74.8,20.7,6.44,Scorers, ,Mario Mandzukic,Juventus  ,6,4,Assists, ,Lucas Vázquez,Real Madrid,10,2
2016/17,Semi Finals,4,Bayern München  ,2,0,1,1,3,4,-1,LD,33%,58%,17%,92%,92%,3.17,OVERALL,28,Feyenoord  ,5,9.2,151.0,41.1,77.8,8.5,6.42,Scorers,28,Marcelo, Real Madrid  ,11,3,Assists, ,Pablo Sarabia,Sevilla FC,10,2
2017/18,Finals,1,Real Madrid  ,1,1,0,0,3,1,2,W,23%,77%,0%,100%,92%,3.77,OVERALL,29,Maribor  ,3,10.3,90.0,37.4,78.5,7.8,6.37,Scorers, ,Thiago, Bayern Munich  ,10,3,Assists, ,Sergio Escudero,Sevilla FC,10,2
2017/18,Finals,2,Liverpool FC   ,1,0,0,1,1,3,-2,L,40%,60%,7%,93%,87%,4.4,OVERALL,30,Benfica  ,1,14.7,112.0,54.7,84.0,11.2,6.35,Scorers, ,Thomas Müller,Bayern Munich,10,3,Assists, ,Thomas Müller,Bayern Munich,10,2
