YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2015/16,Quarter Finals,5,FC Barcelona    ,2,1,0,1,2,3,-1,WL,30%,60%,10%,100%,50%,3.0,OVERALL,21,Gent  ,10,10.5,182.0,52.2,80.7,12.3,6.74,Scorers, ,Julian Draxler,VfL Wolfsburg,9,3,Assists, ,Raúl Jiménez,Benfica  ,10,2
2015/16,Quarter Finals,6,VfL Wolfsburg    ,2,1,0,1,2,3,-1,WL,50%,30%,20%,80%,40%,2.6,OVERALL,22,Galatasaray  ,6,14.5,130.0,48.7,80.7,13.7,6.7,Scorers, ,Neymar  ,Barcelona  ,9,3,Assists, ,Raheem Sterling,Manchester City,10,2
2015/16,Quarter Finals,7,SL Benfica    ,2,0,1,1,2,3,-1,LD,20%,70%,10%,80%,70%,2.7,OVERALL,23,Roma  ,11,14.3,100.0,44.5,78.3,15.6,6.69,Scorers, ,Danijel Milicevic,KAA Gent,8,3,Assists, ,Fernando  ,Manchester City,10,2
2015/16,Quarter Finals,8,Paris Saint-Germain  ,2,0,1,1,2,3,-1,DL,50%,30%,30%,70%,50%,2.4,OVERALL,24,CSKA Moscow,6,8.8,100.0,41.2,75.3,10.3,6.69,Scorers, ,Adrien Rabiot,Paris Saint-Germain,7,3,Assists, ,Eliseu  ,Benfica  ,10,2
2015/16,Semi Finals,1,Real Madrid,2,1,1,0,1,0,1,DW,77%,15%,23%,69%,31%,2.62,OVERALL,25,Valencia  ,5,12.3,181.0,51.0,81.5,12.5,6.68,Scorers, ,Alexis Sánchez,Arsenal  ,7,3,Assists, ,Ángel Di María,Paris Saint-Germain,10,2
2015/16,Semi Finals,2,Atlético Madrid,2,1,0,1,2,2,0,WL,62%,38%,23%,69%,38%,1.92,OVERALL,26,FC Astana,5,12.7,120.0,42.2,74.4,16.0,6.65,Scorers, ,Vincent Aboubakar,FC Porto,6,3,Assists, ,Ivan Rakitic,Barcelona  ,10,2
2015/16,Semi Finals,3,Bayern München  ,2,1,0,1,2,2,0,LW,42%,42%,17%,83%,67%,3.42,OVERALL,27,BATE Borisov,5,6.3,180.0,37.9,66.6,12.8,6.61,Scorers, ,Seydou Doumbia,AS Roma,6,3,Assists, ,Yaya Touré,Manchester City,10,2
2015/16,Semi Finals,4,Manchester City  ,2,0,1,1,0,1,-1,DL,25%,58%,33%,58%,58%,2.5,OVERALL,28,Olympiacos  ,6,11.8,120.0,41.8,75.8,15.0,6.6,Scorers, ,Lars Stindl,Borussia Monchengladbach,6,3,Assists, ,Yannick Carrasco,Atletico Madrid,9,2
2015/16,Finals,1,Atlético Madrid,1,0,1,0,1,1,0,D,62%,38%,23%,69%,38%,1.92,OVERALL,29,Shakhtar Donetsk,7,14.3,151.0,51.2,86.9,7.8,6.55,Scorers, ,Alex Teixeira,Shakhtar Donetsk,6,3,Assists, ,Jonas  ,Benfica  ,9,2
2015/16,Finals,2,Real Madrid  ,1,0,1,0,1,1,0,D,77%,15%,23%,69%,31%,2.62,OVERALL,30,Dinamo Zagreb,3,9.8,131.0,42.1,77.2,11.0,6.44,Scorers, ,Felipe Pardo,Olympiakos  ,6,3,Assists, ,Julian Draxler,VfL Wolfsburg,9,2
