YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2015/16,Semi Finals,2,Club Atlético de Madrid,2,1,0,1,2,2,0,WL,62%,38%,23%,69%,38%,1.92,OVERALL,26,FC Astana,5,12.7,120.0,42.2,74.4,16.0,6.65
2015/16,Semi Finals,3,FC Bayern München  ,2,1,0,1,2,2,0,LW,42%,42%,17%,83%,67%,3.42,OVERALL,27,BATE Borisov,5,6.3,180.0,37.9,66.6,12.8,6.61
2015/16,Semi Finals,4,Manchester City FC  ,2,0,1,1,0,1,-1,DL,25%,58%,33%,58%,58%,2.5,OVERALL,28,Olympiacos  ,6,11.8,120.0,41.8,75.8,15.0,6.6
2015/16,Finals,1,Club Atlético de Madrid,1,0,1,0,1,1,0,D,62%,38%,23%,69%,38%,1.92,OVERALL,29,Shakhtar Donetsk,7,14.3,151.0,51.2,86.9,7.8,6.55
2015/16,Finals,2,Real Madrid CF  ,1,0,1,0,1,1,0,D,77%,15%,23%,69%,31%,2.62,OVERALL,30,Dinamo Zagreb,3,9.8,131.0,42.1,77.2,11.0,6.44
2016/17,8th Finals,1,FC Bayern München  ,2,2,0,0,10,2,8,WW,20%,70%,10%,80%,80%,4.1,OVERALL,1,Real Madrid,36,19.5,190.0,53.5,87.2,10.7,7.11
2016/17,8th Finals,2,Real Madrid CF  ,2,2,0,0,6,2,4,WW,8%,92%,0%,100%,100%,4.15,OVERALL,2,Bayern Munich,27,19.3,162.0,61.9,88.6,15.0,7.06
2016/17,8th Finals,3,Juventus FC    ,2,2,0,0,3,0,3,WW,69%,31%,15%,69%,38%,2.23,OVERALL,3,Barcelona  ,26,13.1,251.0,60.5,87.4,7.0,7.03
2016/17,8th Finals,4,Club Atlético de Madrid,2,1,1,0,4,2,2,WD,50%,33%,25%,50%,33%,2.0,OVERALL,4,Atletico Madrid,15,13.3,210.0,48.5,80.1,17.8,7.01
2016/17,8th Finals,5,BVB 09 Borussia Dortmund,2,1,0,1,4,1,3,LW,30%,60%,10%,80%,80%,4.4,OVERALL,5,Borussia Dortmund,28,15.4,190.0,59.3,86.2,12.1,6.99
2016/17,8th Finals,6,FC Barcelona    ,2,1,0,1,6,5,1,LW,50%,30%,30%,90%,80%,3.8,OVERALL,6,Juventus  ,22,13.8,272.0,54.0,85.5,12.5,6.98
2016/17,8th Finals,7,Leicester City FC  ,2,1,0,1,3,2,1,LW,50%,30%,30%,60%,40%,2.1,OVERALL,7,FC Copenhagen,7,11.2,71.0,52.5,79.1,24.5,6.94
2016/17,8th Finals,8,Manchester City FC  ,2,1,0,1,6,6,0,WL,30%,60%,10%,90%,70%,4.0,OVERALL,8,Bayer Leverkusen,10,13.3,160.0,50.6,76.8,18.0,6.94
2016/17,8th Finals,9,AS Monaco FC  ,2,1,0,1,6,6,0,LW,13%,75%,13%,94%,75%,3.31,OVERALL,9,Lyon  ,5,17.5,140.0,51.4,85.0,11.0,6.94
2016/17,8th Finals,10,Paris Saint-Germain FC  ,2,1,0,1,5,6,-1,WL,25%,75%,0%,100%,88%,3.88,OVERALL,10,Arsenal  ,20,11.8,132.0,49.1,84.9,12.8,6.93
2016/17,8th Finals,11,Sevilla FC    ,2,1,0,1,2,3,-1,WL,63%,25%,38%,50%,38%,1.88,OVERALL,11,Sevilla  ,9,13.0,152.0,57.1,83.5,13.9,6.92
2016/17,8th Finals,12,SL Benfica    ,2,1,0,1,1,4,-3,WL,38%,50%,13%,75%,50%,3.13,OVERALL,12,Paris Saint-Germain,18,15.4,151.0,54.1,87.9,11.6,6.9
